customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn Probability,Risk Level,Recommended Action
7225-CBZPL,17,94.8,1563.9,Month-to-month,Fiber optic,0.8985282397064347,High Risk,Immediate retention offer
1455-UGQVH,10,98.5,1037.75,Month-to-month,Fiber optic,0.8983131559701811,High Risk,Immediate retention offer
2642-DTVCO,9,85.05,746.5,Month-to-month,Fiber optic,0.8974084665390005,High Risk,Immediate retention offer
4102-OQUPX,1,74.4,74.4,Month-to-month,Fiber optic,0.8960916043800937,High Risk,Immediate retention offer
7228-OMTPN,4,88.45,370.65,Month-to-month,Fiber optic,0.8953427357266593,High Risk,Immediate retention offer
6567-HOOPW,1,79.2,79.2,Month-to-month,Fiber optic,0.8944670000404428,High Risk,Immediate retention offer
8337-UPOAQ,10,89.8,914.3,Month-to-month,Fiber optic,0.8936285144210682,High Risk,Immediate retention offer
8473-VUVJN,1,73.65,73.65,Month-to-month,Fiber optic,0.8931166730094474,High Risk,Immediate retention offer
0259-GBZSH,2,85.65,181.5,Month-to-month,Fiber optic,0.8918541972780424,High Risk,Immediate retention offer
4273-MBHYA,1,89.35,89.35,Month-to-month,Fiber optic,0.8917877600764869,High Risk,Immediate retention offer
9546-CQJSU,2,91.4,193.6,Month-to-month,Fiber optic,0.889347105044104,High Risk,Immediate retention offer
4927-WWOOZ,2,91.45,171.45,Month-to-month,Fiber optic,0.8881162707094097,High Risk,Immediate retention offer
1197-BVMVG,4,74.45,294.45,Month-to-month,Fiber optic,0.8876730274956189,High Risk,Immediate retention offer
1304-NECVQ,2,78.55,149.55,Month-to-month,Fiber optic,0.8875675438541067,High Risk,Immediate retention offer
2868-MZAGQ,1,79.25,79.25,Month-to-month,Fiber optic,0.8858572593326364,High Risk,Immediate retention offer
9402-ORRAH,15,91.5,1400.3,Month-to-month,Fiber optic,0.8853273121321179,High Risk,Immediate retention offer
6161-UUUTA,3,79.9,260.9,Month-to-month,Fiber optic,0.8849986798391928,High Risk,Immediate retention offer
0680-DFNNY,15,101.1,1504.05,Month-to-month,Fiber optic,0.8848054644240945,High Risk,Immediate retention offer
3096-GKWEB,18,94.75,1691.9,Month-to-month,Fiber optic,0.8816110414870065,High Risk,Immediate retention offer
5955-ERIHD,18,94.7,1687.95,Month-to-month,Fiber optic,0.8815246459499284,High Risk,Immediate retention offer
4415-IJZTP,1,74.5,74.5,Month-to-month,Fiber optic,0.8813712433942984,High Risk,Immediate retention offer
6683-VLCTZ,20,98.55,1842.8,Month-to-month,Fiber optic,0.8813030768148753,High Risk,Immediate retention offer
6328-ZPBGN,11,95.15,997.65,Month-to-month,Fiber optic,0.8809167843572416,High Risk,Immediate retention offer
4210-QFJMF,4,79.15,317.25,Month-to-month,Fiber optic,0.8808305136358122,High Risk,Immediate retention offer
0702-PGIBZ,4,101.7,364.55,Month-to-month,Fiber optic,0.8805531171008636,High Risk,Immediate retention offer
7858-GTZSP,12,86.55,1066.9,Month-to-month,Fiber optic,0.8786770067107524,High Risk,Immediate retention offer
6941-PMGEP,5,80.0,412.5,Month-to-month,Fiber optic,0.8778078982026117,High Risk,Immediate retention offer
1618-CFHME,2,75.9,143.35,Month-to-month,Fiber optic,0.8774795174786996,High Risk,Immediate retention offer
7969-AULMZ,21,97.35,2119.5,Month-to-month,Fiber optic,0.876981055595573,High Risk,Immediate retention offer
5834-ASPWA,1,75.45,75.45,Month-to-month,Fiber optic,0.8767898846407919,High Risk,Immediate retention offer
4871-JTKJF,1,69.65,69.65,Month-to-month,Fiber optic,0.8767699047901173,High Risk,Immediate retention offer
4806-KEXQR,4,79.9,324.3,Month-to-month,Fiber optic,0.876461037929598,High Risk,Immediate retention offer
2495-INZWQ,4,44.55,174.3,Month-to-month,DSL,0.8761743440763803,High Risk,Immediate retention offer
2462-XIIJB,5,92.5,452.7,Month-to-month,Fiber optic,0.876097714533436,High Risk,Immediate retention offer
0220-EBGCE,2,85.85,167.3,Month-to-month,Fiber optic,0.8754086364680227,High Risk,Immediate retention offer
7294-TMAOP,1,90.55,90.55,Month-to-month,Fiber optic,0.8752243823642891,High Risk,Immediate retention offer
6892-EZDTG,4,91.65,365.4,Month-to-month,Fiber optic,0.8750859279809553,High Risk,Immediate retention offer
7130-VTEWQ,8,75.75,606.25,Month-to-month,Fiber optic,0.874623741408079,High Risk,Immediate retention offer
4060-LDNLU,7,96.2,639.7,Month-to-month,Fiber optic,0.874549525665538,High Risk,Immediate retention offer
9300-RENDD,1,79.95,79.95,Month-to-month,Fiber optic,0.8742514330176396,High Risk,Immediate retention offer
7594-RQHXR,1,79.6,79.6,Month-to-month,Fiber optic,0.8737664422645977,High Risk,Immediate retention offer
2985-FMWYF,23,93.5,2341.55,Month-to-month,Fiber optic,0.8734572390095032,High Risk,Immediate retention offer
0637-KVDLV,2,76.5,162.45,Month-to-month,Fiber optic,0.8733862715400392,High Risk,Immediate retention offer
9957-YODKZ,6,80.8,457.1,Month-to-month,Fiber optic,0.8733237932580522,High Risk,Immediate retention offer
4342-HENTK,2,70.65,142.35,Month-to-month,Fiber optic,0.8729899554274184,High Risk,Immediate retention offer
6615-NGGZJ,14,100.55,1415.55,Month-to-month,Fiber optic,0.8721941894980106,High Risk,Immediate retention offer
8644-XLFBW,1,71.65,71.65,Month-to-month,Fiber optic,0.8717090240580938,High Risk,Immediate retention offer
7074-IEVOJ,3,79.4,205.05,Month-to-month,Fiber optic,0.8714617675883856,High Risk,Immediate retention offer
9094-AZPHK,15,100.15,1415.0,Month-to-month,Fiber optic,0.8713008075274965,High Risk,Immediate retention offer
9897-KXHCM,3,80.3,250.05,Month-to-month,Fiber optic,0.8709546899372291,High Risk,Immediate retention offer
9124-LHCJQ,1,85.45,85.45,Month-to-month,Fiber optic,0.8705354020306024,High Risk,Immediate retention offer
0404-SWRVG,3,74.4,229.55,Month-to-month,Fiber optic,0.8704273135583213,High Risk,Immediate retention offer
4929-XIHVW,2,95.5,181.65,Month-to-month,Fiber optic,0.8703049461835409,High Risk,Immediate retention offer
2929-ERCFZ,8,94.2,777.3,Month-to-month,Fiber optic,0.8699244734778458,High Risk,Immediate retention offer
1579-KLYDT,7,90.45,593.45,Month-to-month,Fiber optic,0.8696741653128927,High Risk,Immediate retention offer
0841-NULXI,1,35.55,35.55,Month-to-month,DSL,0.869498051669142,High Risk,Immediate retention offer
9185-TQCVP,14,85.15,1139.2,Month-to-month,Fiber optic,0.8694726520479559,High Risk,Immediate retention offer
0334-GDDSO,3,81.35,233.7,Month-to-month,Fiber optic,0.8669977097112361,High Risk,Immediate retention offer
9317-WZPGV,2,79.75,159.4,Month-to-month,Fiber optic,0.8666535838935939,High Risk,Immediate retention offer
1628-BIZYP,1,85.0,85.0,Month-to-month,Fiber optic,0.8661692446198082,High Risk,Immediate retention offer
6100-QQHEB,17,92.55,1515.1,Month-to-month,Fiber optic,0.8660229892351701,High Risk,Immediate retention offer
8083-YTZES,4,74.35,265.35,Month-to-month,Fiber optic,0.8657916961024225,High Risk,Immediate retention offer
2880-FPNAE,2,74.2,140.1,Month-to-month,Fiber optic,0.8650408379824863,High Risk,Immediate retention offer
7180-PISOG,1,74.5,74.5,Month-to-month,Fiber optic,0.8635128824964826,High Risk,Immediate retention offer
8242-SOQUO,5,84.7,392.5,Month-to-month,Fiber optic,0.86230256178522,High Risk,Immediate retention offer
4597-NUCQV,24,101.25,2440.15,Month-to-month,Fiber optic,0.8620979031631347,High Risk,Immediate retention offer
0375-HVGXO,1,34.7,34.7,Month-to-month,DSL,0.8619147508932153,High Risk,Immediate retention offer
5919-TMRGD,1,79.35,79.35,Month-to-month,Fiber optic,0.8614409943088033,High Risk,Immediate retention offer
6356-ELRKD,1,95.6,95.6,Month-to-month,Fiber optic,0.8612566311756248,High Risk,Immediate retention offer
0122-OAHPZ,7,73.85,511.25,Month-to-month,Fiber optic,0.8604027647762322,High Risk,Immediate retention offer
2430-USGXP,24,101.05,2391.8,Month-to-month,Fiber optic,0.8597674023783748,High Risk,Immediate retention offer
6087-MVHJH,16,88.45,1422.1,Month-to-month,Fiber optic,0.8596621209772467,High Risk,Immediate retention offer
0328-GRPMV,1,70.1,70.1,Month-to-month,Fiber optic,0.8588000112433563,High Risk,Immediate retention offer
8835-VSDSE,2,70.7,141.45,Month-to-month,Fiber optic,0.8587996031358169,High Risk,Immediate retention offer
7145-FEJWU,12,105.3,1275.65,Month-to-month,Fiber optic,0.858787620626109,High Risk,Immediate retention offer
1640-PLFMP,1,70.25,70.25,Month-to-month,Fiber optic,0.8587491985894758,High Risk,Immediate retention offer
7638-QVMVY,7,79.0,522.95,Month-to-month,Fiber optic,0.8575581807996279,High Risk,Immediate retention offer
1977-STDKI,1,73.0,73.0,Month-to-month,Fiber optic,0.856595075744673,High Risk,Immediate retention offer
7240-ETPTR,9,48.75,442.2,Month-to-month,DSL,0.8563316017611832,High Risk,Immediate retention offer
8648-PFRMP,14,46.35,672.7,Month-to-month,DSL,0.8551563327663554,High Risk,Immediate retention offer
3721-CNEYS,2,70.95,137.95,Month-to-month,Fiber optic,0.8544674757153419,High Risk,Immediate retention offer
3198-VELRD,3,84.75,264.85,Month-to-month,Fiber optic,0.8544199798079354,High Risk,Immediate retention offer
6857-VWJDT,1,95.65,95.65,Month-to-month,Fiber optic,0.8541066554075956,High Risk,Immediate retention offer
6502-MJQAE,1,69.6,69.6,Month-to-month,Fiber optic,0.8539975688513,High Risk,Immediate retention offer
4603-JANFB,1,69.85,69.85,Month-to-month,Fiber optic,0.8539104819755771,High Risk,Immediate retention offer
0306-JAELE,5,96.1,453.4,Month-to-month,Fiber optic,0.853350676198038,High Risk,Immediate retention offer
9279-CJEOJ,21,95.4,2025.1,Month-to-month,Fiber optic,0.853205288378519,High Risk,Immediate retention offer
5348-CAGXB,12,89.55,1021.75,Month-to-month,Fiber optic,0.8531377439981408,High Risk,Immediate retention offer
5357-TZHPP,9,84.4,732.5,Month-to-month,Fiber optic,0.8527260172647242,High Risk,Immediate retention offer
9274-CNFMO,4,74.95,308.7,Month-to-month,Fiber optic,0.8520388746027311,High Risk,Immediate retention offer
1219-NNDDO,9,76.85,663.55,Month-to-month,Fiber optic,0.8517309810451197,High Risk,Immediate retention offer
1226-IENZN,16,78.75,1218.25,Month-to-month,Fiber optic,0.8514279492244744,High Risk,Immediate retention offer
9633-XQABV,3,70.25,229.7,Month-to-month,Fiber optic,0.8513766614024731,High Risk,Immediate retention offer
3629-ZNKXA,17,101.8,1752.45,Month-to-month,Fiber optic,0.851086707518853,High Risk,Immediate retention offer
9330-IJWIO,13,100.35,1358.85,Month-to-month,Fiber optic,0.8510360800762398,High Risk,Immediate retention offer
3317-VLGQT,14,78.1,1122.4,Month-to-month,Fiber optic,0.8508923551084185,High Risk,Immediate retention offer
2840-XANRC,24,93.15,2231.05,Month-to-month,Fiber optic,0.8507740283587585,High Risk,Immediate retention offer
7245-NIIWQ,3,69.85,199.85,Month-to-month,Fiber optic,0.8505922179935552,High Risk,Immediate retention offer
5393-RXQSZ,1,79.6,79.6,Month-to-month,Fiber optic,0.8502305260705458,High Risk,Immediate retention offer
4853-OITSN,5,89.15,413.25,Month-to-month,Fiber optic,0.8494114694475315,High Risk,Immediate retention offer
7354-OIJLX,9,75.85,724.65,Month-to-month,Fiber optic,0.8488981673227309,High Risk,Immediate retention offer
2761-OCIAX,2,74.7,165.4,Month-to-month,Fiber optic,0.847492201196185,High Risk,Immediate retention offer
5928-QLDHB,9,76.25,684.85,Month-to-month,Fiber optic,0.8474706134761517,High Risk,Immediate retention offer
0018-NYROU,5,68.95,351.5,Month-to-month,Fiber optic,0.8473807873788957,High Risk,Immediate retention offer
7235-NXZCP,2,74.85,156.4,Month-to-month,Fiber optic,0.8470153271198817,High Risk,Immediate retention offer
9102-IAYHT,17,85.45,1451.6,Month-to-month,Fiber optic,0.8469466169188573,High Risk,Immediate retention offer
3677-IYRBF,2,30.4,78.65,Month-to-month,DSL,0.846567683977563,High Risk,Immediate retention offer
8800-JOOCF,12,84.05,966.55,Month-to-month,Fiber optic,0.845627631150853,High Risk,Immediate retention offer
3001-UNBTL,29,103.95,2964.8,Month-to-month,Fiber optic,0.8456271996423252,High Risk,Immediate retention offer
8063-GBATB,27,85.25,2287.25,Month-to-month,Fiber optic,0.8454441367652157,High Risk,Immediate retention offer
8413-VONUO,2,95.65,167.3,Month-to-month,Fiber optic,0.845008186557225,High Risk,Immediate retention offer
0329-GTIAJ,3,97.9,315.3,Month-to-month,Fiber optic,0.8449272739280446,High Risk,Immediate retention offer
8017-LXHFA,23,94.75,2293.6,Month-to-month,Fiber optic,0.8447245400815679,High Risk,Immediate retention offer
6899-PPEEA,37,96.55,3580.3,Month-to-month,Fiber optic,0.8444974463422269,High Risk,Immediate retention offer
9314-IJWSQ,14,84.8,1203.9,Month-to-month,Fiber optic,0.8444734510673282,High Risk,Immediate retention offer
1024-GUALD,1,24.8,24.8,Month-to-month,DSL,0.8443422310389209,High Risk,Immediate retention offer
5134-IKDAY,1,69.8,69.8,Month-to-month,Fiber optic,0.8436902311828628,High Risk,Immediate retention offer
9208-OLGAQ,18,84.95,1443.65,Month-to-month,Fiber optic,0.8419217800526626,High Risk,Immediate retention offer
9507-EXLTT,1,79.35,79.35,Month-to-month,Fiber optic,0.8419195755439118,High Risk,Immediate retention offer
3990-QYKBE,37,92.5,3473.4,Month-to-month,Fiber optic,0.8417203219372436,High Risk,Immediate retention offer
3841-CONLJ,1,35.0,35.0,Month-to-month,DSL,0.8402976820118042,High Risk,Immediate retention offer
4132-KALRO,4,100.85,399.25,Month-to-month,Fiber optic,0.8397926160230962,High Risk,Immediate retention offer
3746-EUBYR,1,74.6,74.6,Month-to-month,Fiber optic,0.8397166276330577,High Risk,Immediate retention offer
4550-EVXNY,1,69.65,69.65,Month-to-month,Fiber optic,0.8392578202936621,High Risk,Immediate retention offer
5442-UTCVD,3,91.85,257.05,Month-to-month,Fiber optic,0.8390172330645779,High Risk,Immediate retention offer
1853-UDXBW,1,70.0,70.0,Month-to-month,Fiber optic,0.8382055598580208,High Risk,Immediate retention offer
2058-DCJBE,5,69.75,324.6,Month-to-month,Fiber optic,0.8363068146759888,High Risk,Immediate retention offer
8945-GRKHX,1,78.65,78.65,Month-to-month,Fiber optic,0.8355679872350521,High Risk,Immediate retention offer
3276-HDUEG,1,75.05,75.05,Month-to-month,Fiber optic,0.8354828240857303,High Risk,Immediate retention offer
2379-ENZGV,6,84.85,523.5,Month-to-month,Fiber optic,0.8349372315812793,High Risk,Immediate retention offer
0455-XFASS,3,69.55,200.2,Month-to-month,Fiber optic,0.8347953365604938,High Risk,Immediate retention offer
5117-IFGPS,29,84.3,2357.75,Month-to-month,Fiber optic,0.833943104966516,High Risk,Immediate retention offer
4873-ILOLJ,24,90.35,2238.5,Month-to-month,Fiber optic,0.8338996621386594,High Risk,Immediate retention offer
5119-NZPTV,2,70.1,141.65,Month-to-month,Fiber optic,0.8334997719769137,High Risk,Immediate retention offer
8380-PEFPE,1,71.65,71.65,Month-to-month,Fiber optic,0.83294989548458,High Risk,Immediate retention offer
2845-AFFTX,41,99.8,4259.3,Month-to-month,Fiber optic,0.8311775721734294,High Risk,Immediate retention offer
3049-NDXFL,1,85.8,85.8,Month-to-month,Fiber optic,0.8310384868961461,High Risk,Immediate retention offer
8699-ASUFO,7,74.4,527.9,Month-to-month,Fiber optic,0.8307455391991809,High Risk,Immediate retention offer
1112-CUNAO,15,89.85,1424.95,Month-to-month,Fiber optic,0.8304007820005747,High Risk,Immediate retention offer
3346-BRMIS,18,48.35,810.7,Month-to-month,DSL,0.8302832639170743,High Risk,Immediate retention offer
6407-UTSLV,2,83.8,163.7,Month-to-month,Fiber optic,0.8301696765487064,High Risk,Immediate retention offer
5940-NFXKV,19,83.65,1465.75,Month-to-month,Fiber optic,0.8292528853847511,High Risk,Immediate retention offer
5186-SAMNZ,1,69.5,69.5,Month-to-month,Fiber optic,0.8291878532514997,High Risk,Immediate retention offer
6060-DRTNL,5,84.85,415.55,Month-to-month,Fiber optic,0.828452898433744,High Risk,Immediate retention offer
6198-ZFIOJ,5,75.6,402.5,Month-to-month,Fiber optic,0.8283065159921743,High Risk,Immediate retention offer
9912-GVSEQ,26,93.85,2381.55,Month-to-month,Fiber optic,0.8267073197690128,High Risk,Immediate retention offer
7861-UVUFT,15,84.3,1308.4,Month-to-month,Fiber optic,0.8262962547290312,High Risk,Immediate retention offer
0742-NXBGR,1,82.3,82.3,Month-to-month,Fiber optic,0.82549703721536,High Risk,Immediate retention offer
4039-HEUNW,36,96.5,3436.1,Month-to-month,Fiber optic,0.8225396636229784,High Risk,Immediate retention offer
1342-JPNKI,10,86.05,834.1,Month-to-month,Fiber optic,0.8222982943723258,High Risk,Immediate retention offer
1666-JXLKU,37,100.05,3810.55,Month-to-month,Fiber optic,0.8221908438242695,High Risk,Immediate retention offer
8714-CTZJW,4,82.85,319.6,Month-to-month,Fiber optic,0.8215427087113703,High Risk,Immediate retention offer
0689-NKYLF,13,83.2,1060.6,Month-to-month,Fiber optic,0.8214847486511708,High Risk,Immediate retention offer
8008-HAWED,14,50.75,712.75,Month-to-month,DSL,0.8211938441589881,High Risk,Immediate retention offer
3143-JQEGI,13,88.35,1222.8,Month-to-month,Fiber optic,0.8206760292569583,High Risk,Immediate retention offer
0524-IAVZO,30,85.0,2624.25,Month-to-month,Fiber optic,0.8195273292947846,High Risk,Immediate retention offer
1891-UAWWU,20,90.8,1951.0,Month-to-month,Fiber optic,0.8187430949882818,High Risk,Immediate retention offer
8270-RKSAP,9,70.5,597.9,Month-to-month,Fiber optic,0.8173374865143024,High Risk,Immediate retention offer
3177-LASXD,1,71.35,71.35,Month-to-month,Fiber optic,0.8161006693971394,High Risk,Immediate retention offer
1465-VINDH,10,102.1,1068.85,Month-to-month,Fiber optic,0.8153684337524569,High Risk,Immediate retention offer
5219-YIPTK,33,104.4,3409.6,Month-to-month,Fiber optic,0.8152955084316236,High Risk,Immediate retention offer
5569-KGJHX,9,85.35,754.65,Month-to-month,Fiber optic,0.8151975814563116,High Risk,Immediate retention offer
7912-SYRQT,7,75.1,552.95,Month-to-month,Fiber optic,0.8150104092425368,High Risk,Immediate retention offer
6595-YGXIT,25,88.95,2291.2,Month-to-month,Fiber optic,0.8136671971248464,High Risk,Immediate retention offer
7892-POOKP,28,104.8,3046.05,Month-to-month,Fiber optic,0.8135800795683253,High Risk,Immediate retention offer
5989-PGKJB,16,86.25,1340.1,Month-to-month,Fiber optic,0.8134503292820392,High Risk,Immediate retention offer
7802-EFKNY,5,24.95,100.4,Month-to-month,DSL,0.8131569851281979,High Risk,Immediate retention offer
4124-MMETB,22,94.65,2104.55,Month-to-month,Fiber optic,0.8126865793012601,High Risk,Immediate retention offer
3001-CBHLQ,32,104.9,3351.55,Month-to-month,Fiber optic,0.8124394840430441,High Risk,Immediate retention offer
6339-YPSAH,9,73.8,704.3,Month-to-month,Fiber optic,0.8120009341689122,High Risk,Immediate retention offer
5442-BHQNG,2,70.35,139.25,Month-to-month,Fiber optic,0.8116103095749159,High Risk,Immediate retention offer
5138-WVKYJ,10,98.55,1008.55,Month-to-month,Fiber optic,0.8111881216508794,High Risk,Immediate retention offer
9874-QLCLH,17,104.2,1743.5,Month-to-month,Fiber optic,0.8109811180083191,High Risk,Immediate retention offer
0148-DCDOS,25,94.7,2362.1,Month-to-month,Fiber optic,0.8102377520635756,High Risk,Immediate retention offer
8485-GJCDN,5,69.05,318.5,Month-to-month,Fiber optic,0.8097974561585198,High Risk,Immediate retention offer
0923-PNFUB,3,83.75,247.25,Month-to-month,Fiber optic,0.807393903909089,High Risk,Immediate retention offer
1496-GGSUK,1,25.7,25.7,Month-to-month,DSL,0.8071135164514273,High Risk,Immediate retention offer
3877-JRJIP,1,59.85,59.85,Month-to-month,DSL,0.8064860383011734,High Risk,Immediate retention offer
6910-HADCM,1,76.35,76.35,Month-to-month,Fiber optic,0.806040728271711,High Risk,Immediate retention offer
6877-LGWXO,18,78.55,1422.65,Month-to-month,Fiber optic,0.8053431018991499,High Risk,Immediate retention offer
6400-BWQKW,6,79.05,434.5,Month-to-month,Fiber optic,0.8043179980309803,High Risk,Immediate retention offer
8374-XGEJJ,43,101.0,4388.4,Month-to-month,Fiber optic,0.8036833039517866,High Risk,Immediate retention offer
2905-KFQUV,2,70.4,154.8,Month-to-month,Fiber optic,0.8019396292388214,High Risk,Immediate retention offer
2369-UAPKZ,5,104.1,541.9,Month-to-month,Fiber optic,0.8016078893374461,High Risk,Immediate retention offer
0330-IVZHA,5,69.95,330.15,Month-to-month,Fiber optic,0.80125398823366,High Risk,Immediate retention offer
3496-LFSZU,4,70.5,294.2,Month-to-month,Fiber optic,0.8010122915744885,High Risk,Immediate retention offer
7598-UAASY,2,76.4,151.8,Month-to-month,Fiber optic,0.8000683731150459,High Risk,Immediate retention offer
7534-BFESC,24,76.1,1712.7,Month-to-month,Fiber optic,0.7994738997378595,High Risk,Immediate retention offer
8042-JVNFH,1,71.35,71.35,Month-to-month,Fiber optic,0.7993871031669466,High Risk,Immediate retention offer
6140-QNRQQ,1,71.55,71.55,Month-to-month,Fiber optic,0.7992975033253805,High Risk,Immediate retention offer
0529-ONKER,15,75.65,1146.65,Month-to-month,Fiber optic,0.7986656578575104,High Risk,Immediate retention offer
3063-QFSZL,1,55.4,55.4,Month-to-month,DSL,0.7983273680623627,High Risk,Immediate retention offer
0147-ESWWR,39,101.25,3949.15,Month-to-month,Fiber optic,0.7974993797298079,High Risk,Immediate retention offer
5405-ZMYXQ,8,74.6,548.9,Month-to-month,Fiber optic,0.7965803842584684,High Risk,Immediate retention offer
6692-UDPJC,14,91.65,1301.0,Month-to-month,Fiber optic,0.7960878088690506,High Risk,Immediate retention offer
9779-DPNEJ,22,80.15,1790.65,Month-to-month,Fiber optic,0.7942984593494014,High Risk,Immediate retention offer
0135-NMXAP,12,89.75,1052.4,Month-to-month,Fiber optic,0.7942518061252369,High Risk,Immediate retention offer
4686-UXDML,21,99.85,1992.55,Month-to-month,Fiber optic,0.7938685698803543,High Risk,Immediate retention offer
3992-YWPKO,6,109.9,669.45,Month-to-month,Fiber optic,0.7937568233376102,High Risk,Immediate retention offer
5655-JSMZM,49,96.2,4718.25,Month-to-month,Fiber optic,0.7925950008163102,High Risk,Immediate retention offer
7176-WIONM,12,49.85,617.15,Month-to-month,DSL,0.7915591675479396,High Risk,Immediate retention offer
3003-CMDUU,25,95.15,2395.7,Month-to-month,Fiber optic,0.7907347884459592,High Risk,Immediate retention offer
8708-XPXHZ,42,94.2,4186.3,Month-to-month,Fiber optic,0.7901906394092152,High Risk,Immediate retention offer
8818-DOPVL,46,104.45,4863.85,Month-to-month,Fiber optic,0.7897520286045117,High Risk,Immediate retention offer
8844-TONUD,13,96.65,1162.85,Month-to-month,Fiber optic,0.7894224661735277,High Risk,Immediate retention offer
3365-SAIGS,17,83.55,1329.15,Month-to-month,Fiber optic,0.7892639755406062,High Risk,Immediate retention offer
9133-AYJZG,23,98.7,2249.1,Month-to-month,Fiber optic,0.7885955419328513,High Risk,Immediate retention offer
5144-TVGLP,38,94.75,3653.0,Month-to-month,Fiber optic,0.7881638153934754,High Risk,Immediate retention offer
4484-CGXFK,3,55.3,196.15,Month-to-month,DSL,0.7878542110806568,High Risk,Immediate retention offer
7137-RYLPP,37,85.7,3171.15,Month-to-month,Fiber optic,0.7870199193547397,High Risk,Immediate retention offer
6900-PXRMS,26,105.75,2710.25,Month-to-month,Fiber optic,0.7864087285124459,High Risk,Immediate retention offer
8949-JTMAY,29,98.6,2933.2,Month-to-month,Fiber optic,0.7863647288553595,High Risk,Immediate retention offer
6956-SMUCM,3,99.0,287.4,Month-to-month,Fiber optic,0.7860258125241627,High Risk,Immediate retention offer
0601-WZHJF,14,46.35,667.7,Month-to-month,DSL,0.7858844012391742,High Risk,Immediate retention offer
9050-QLROH,18,90.7,1597.25,Month-to-month,Fiber optic,0.7855773252229594,High Risk,Immediate retention offer
9947-OTFQU,15,74.4,1074.3,Month-to-month,Fiber optic,0.7854309578257905,High Risk,Immediate retention offer
9600-UDOPK,30,94.05,2866.45,Month-to-month,Fiber optic,0.7851287953828946,High Risk,Immediate retention offer
4183-MYFRB,21,90.05,1862.9,Month-to-month,Fiber optic,0.7843800723032587,High Risk,Immediate retention offer
9796-BPKIW,8,69.95,562.7,Month-to-month,Fiber optic,0.7833565174373003,High Risk,Immediate retention offer
8393-DLHGA,25,95.9,2448.75,Month-to-month,Fiber optic,0.7824192205314651,High Risk,Immediate retention offer
4367-NHWMM,1,24.9,24.9,Month-to-month,DSL,0.7821127884493796,High Risk,Immediate retention offer
5605-IYGFG,7,69.85,515.45,Month-to-month,Fiber optic,0.7819653961376161,High Risk,Immediate retention offer
2424-WVHPL,1,74.7,74.7,Month-to-month,Fiber optic,0.7795064735160757,High Risk,Immediate retention offer
0654-HMSHN,21,104.4,2157.95,Month-to-month,Fiber optic,0.7794705844798547,High Risk,Immediate retention offer
9129-UXERG,18,103.6,1806.35,Month-to-month,Fiber optic,0.7793423883278175,High Risk,Immediate retention offer
1335-NTIUC,9,24.95,190.25,Month-to-month,DSL,0.7792334115337688,High Risk,Immediate retention offer
3269-ATYWD,39,95.65,3759.05,Month-to-month,Fiber optic,0.7785737920336502,High Risk,Immediate retention offer
